HP:0000001	All
HP:0001654	Synonym('Valvular heart disease', scope='RELATED')
HP:0001654	Synonym('Valvular abnormality', scope='EXACT')
HP:0001655	Patent foramen ovale
HP:0001655	Synonym('Persistent foramen ovale', scope='EXACT')
HP:0001657	Prolonged QT interval
HP:0001657	Synonym('Long QT syndrome', scope='EXACT')
HP:0001657	Synonym('Long Q-T syndrome', scope='RELATED')
HP:0001657	Synonym('Prolong qt interval on ekg', scope='EXACT')
HP:0001658	Myocardial infarction
HP:0001658	Synonym('MI', scope='EXACT', type=SynonymType('abbreviation', 'abbreviation'))
HP:0001658	Synonym('Heart attack', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001659	Aortic regurgitation
HP:0001659	Synonym('Aortic valve regurgitation', scope='EXACT')
HP:0001659	Synonym('Aortic insufficiency', scope='EXACT')
HP:0001660	Truncus arteriosus
HP:0001660	Synonym('Common arterial trunk', scope='EXACT')
HP:0001660	Synonym('Persistent truncus arteriosus', scope='RELATED')
HP:0001662	Bradycardia
HP:0001662	Synonym('Brachycardia', scope='EXACT')
HP:0001662	Synonym('Slow heartbeats', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001663	Ventricular fibrillation
HP:0001664	Torsade de pointes
HP:0001664	Synonym('Torsades de pointes', scope='EXACT')
HP:0001667	Right ventricular hypertrophy
HP:0001667	Synonym('Heart right ventricle hypertrophy', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001669	Transposition of the great arteries
HP:0001669	Synonym('Transposition of great vessels', scope='EXACT')
HP:0001670	Asymmetric septal hypertrophy
HP:0001671	Abnormal cardiac septum morphology
HP:0001671	Synonym('Septal defects', scope='EXACT', type=SynonymType('plural_form', 'plural form'))
HP:0001671	Synonym('Heart septal defect', scope='EXACT')
HP:0001671	Synonym('Abnormality of the cardiac septa', scope='EXACT')
HP:0001673	obsolete Tachycardia (with pheochromocytoma)
HP:0001674	Complete atrioventricular canal defect
HP:0001674	Synonym('Complete common AV canal', scope='EXACT')
HP:0001674	Synonym('Complete atrioventricular canal', scope='EXACT')
HP:0001674	Synonym('Complete atrioventricular septal defect', scope='EXACT')
HP:0001674	Synonym('Common atrioventricular canal', scope='EXACT')
HP:0001675	obsolete Rhythm disturbances associated with pheochromocytoma
HP:0001676	obsolete Palpitations (with pheochromocytoma)
HP:0001677	Coronary artery atherosclerosis
HP:0001677	Synonym('Coronary disease', scope='EXACT')
HP:0001677	Synonym('Coronary atherosclerosis', scope='EXACT')
HP:0001677	Synonym('Plaque build-up in arteries supplying blood to heart', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001678	Atrioventricular block
HP:0001678	Synonym('Atrioventricular nodal disease', scope='RELATED')
HP:0001678	Synonym('Interruption of electrical communication between upper and lower chambers of heart', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001679	Abnormal aortic morphology
HP:0001679	Synonym('Abnormal aorta morphology', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001679	Synonym('Abnormality of the aorta', scope='EXACT')
HP:0001680	Coarctation of aorta
HP:0001680	Synonym('Aortic coarctation', scope='EXACT')
HP:0001680	Synonym('Narrowing of the aorta', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001680	Synonym('Coarctation of the aorta', scope='EXACT')
HP:0001680	Synonym('Narrowing of aorta', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001681	Angina pectoris
HP:0001682	Subvalvular aortic stenosis
HP:0001682	Synonym('Narrowing of blood vessel below aortic heart valve', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001682	Synonym('Subaortic stenosis', scope='EXACT')
HP:0001683	Ectopia cordis
HP:0001684	Secundum atrial septal defect
HP:0001684	Synonym('Ostium secundum atrial septal defect', scope='EXACT')
HP:0001684	Synonym('Patent ostium secundum', scope='EXACT')
HP:0001684	Synonym('Atrial septal defect, ostium secundum type', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0001685	Myocardial fibrosis
HP:0001686	Loss of voice
HP:0001686	Synonym('Aphonia', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432'), Xref('https://orcid.org/0000-0001-5889-4463')})
HP:0001688	Sinus bradycardia
HP:0001691	Muscular subvalvular aortic stenosis
HP:0001691	Synonym('Muscular subaortic stenosis', scope='EXACT')
HP:0001692	Atrial arrhythmia
HP:0001692	Synonym('Primary atrial arrhythmia', scope='RELATED')
HP:0001693	Cardiac shunt
HP:0001694	Right-to-left shunt
HP:0001695	Cardiac arrest
HP:0001695	Synonym('Heart stops beating', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001696	Situs inversus totalis
HP:0001696	Synonym('All organs on wrong side of body', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001696	Synonym('Situs inversus', scope='RELATED')
HP:0001696	Synonym('situs transversus', scope='EXACT')
HP:0001696	Synonym('situs oppositus', scope='EXACT')
HP:0001697	Abnormal pericardium morphology
HP:0001697	Synonym('Abnormality of the pericardium', scope='EXACT')
HP:0001698	Pericardial effusion
HP:0001698	Synonym('Pericardial effusions', scope='EXACT')
HP:0001698	Synonym('Fluid around heart', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001699	Sudden death
HP:0001700	Myocardial necrosis
HP:0001701	Pericarditis
HP:0001701	Synonym('Swelling or irritation of membrane around heart', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001702	Abnormal tricuspid valve morphology
HP:0001702	Synonym('Abnormality of the tricuspid valve', scope='EXACT')
HP:0001704	Tricuspid valve prolapse
HP:0001705	Right ventricular outlet tract obstruction
HP:0001705	Synonym('Right ventricular outlet obstruction', scope='EXACT')
HP:0001706	Endocardial fibroelastosis
HP:0001707	Abnormal right ventricle morphology
HP:0001707	Synonym('Right ventricular abnormality', scope='EXACT')
HP:0001707	Synonym('Abnormality of the right ventricle', scope='EXACT')
HP:0001708	Right ventricular failure
HP:0001708	Synonym('Right-sided heart failure', scope='EXACT')
HP:0001708	Synonym('Right ventricular impairment', scope='EXACT')
HP:0001708	Synonym('Impaired right ventricular function', scope='EXACT')
HP:0001709	Third degree atrioventricular block
HP:0001709	Synonym('Complete heart block', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001709	Synonym('Third-degree heart block', scope='RELATED')
HP:0001710	Conotruncal defect
HP:0001710	Synonym('Conotruncal heart defects', scope='EXACT')
HP:0001711	Abnormal left ventricle morphology
HP:0001711	Synonym('Left ventricular abnormality', scope='EXACT')
HP:0001711	Synonym('Abnormality of the left ventricle', scope='EXACT')
HP:0001711	Synonym('Abnormal heart left ventricle morphology', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001712	Left ventricular hypertrophy
HP:0001712	Synonym('Left ventricular wall hypertrophy', scope='EXACT')
HP:0001712	Synonym('Heart left ventricle hypertrophy', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001713	Abnormal cardiac ventricle morphology
HP:0001713	Synonym('Abnormality of cardiac ventricle', scope='EXACT')
HP:0001714	Ventricular hypertrophy
HP:0001716	Wolff-Parkinson-White syndrome
HP:0001717	Coronary artery calcification
HP:0001718	Mitral stenosis
HP:0001718	Synonym('Mitral valve stenosis', scope='EXACT')
HP:0001719	Double outlet right ventricle
HP:0001719	Synonym('Double-outlet right ventricle', scope='EXACT')
HP:0001719	Synonym('DORV', scope='EXACT', type=SynonymType('abbreviation', 'abbreviation'))
HP:0001722	High-output congestive heart failure
HP:0001723	Restrictive cardiomyopathy
HP:0001724	obsolete Aortic dilatation
HP:0001726	obsolete Increased prevalence of valvular disease
HP:0001727	Thromboembolic stroke
HP:0001730	Progressive hearing impairment
HP:0001730	Synonym('Progressive hearing loss', scope='EXACT')
HP:0001732	Abnormality of the pancreas
HP:0001732	Synonym('Abnormality of the pancreas', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001732	Synonym('Pancreatic disease', scope='RELATED', type=SynonymType('layperson', 'layperson term'))
HP:0001733	Pancreatitis
HP:0001733	Synonym('Pancreatic inflammation', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001734	Annular pancreas
HP:0001735	Acute pancreatitis
HP:0001735	Synonym('Pancreatitis, acute', scope='EXACT')
HP:0001735	Synonym('Acute pancreatic inflammation', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001737	Pancreatic cysts
HP:0001737	Synonym('Multiple pancreatic cysts', scope='RELATED', type=SynonymType('layperson', 'layperson term'))
HP:0001737	Synonym('Pancreatic cyst', scope='RELATED', type=SynonymType('layperson', 'layperson term'))
HP:0001737	Synonym('Pancreatic cysts', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001738	Exocrine pancreatic insufficiency
HP:0001738	Synonym('Inability to properly digest food due to lack of pancreatic digestive enzymes', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001738	Synonym('Pancreatic insufficiency', scope='RELATED')
HP:0001739	Abnormal nasopharynx morphology
HP:0001739	Synonym('Abnormality of the nasopharynx', scope='EXACT')
HP:0001741	Phimosis
HP:0001742	Nasal congestion
HP:0001742	Synonym('Obstruction of nose', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5889-4463')})
HP:0001742	Synonym('Stuffy nose', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('http://www.entnet.org/content/stuffy-nose')})
HP:0001742	Synonym('Congestion of nose', scope='NARROW', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5889-4463')})
HP:0001742	Synonym('Nasal obstruction', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001742	Synonym('Blockage of nose', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5889-4463')})
HP:0001742	Synonym('Nasal blockage', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5889-4463')})
HP:0001743	Abnormality of the spleen
HP:0001743	Synonym('Abnormality of the spleen', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001744	Splenomegaly
HP:0001744	Synonym('Large spleen', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001744	Synonym('Increased spleen size', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001746	Asplenia
HP:0001746	Synonym('Absent spleen', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001747	Accessory spleen
HP:0001748	Polysplenia
HP:0001748	Synonym('Accessory spleens', scope='EXACT')
HP:0001748	Synonym('Multiple accessory spleens', scope='EXACT')
HP:0001748	Synonym('Multiple small spleens', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001750	Single ventricle
HP:0001750	Synonym('Common ventricle', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001751	Abnormal vestibular function
HP:0001751	Synonym('Impaired vestibular function', scope='EXACT')
HP:0001751	Synonym('Interictal vestibular dysfunction', scope='EXACT')
HP:0001751	Synonym('Vestibular function defect', scope='EXACT')
HP:0001756	Vestibular hyporeflexia
HP:0001756	Synonym('Vestibular deficiency', scope='EXACT')
HP:0001756	Synonym('Vestibular failure', scope='EXACT')
HP:0001756	Synonym('Vestibular hyporeflexia', scope='EXACT')
HP:0001756	Synonym('Vestibulopathy', scope='EXACT')
HP:0001756	Synonym('Vestibular hypofunction', scope='EXACT')
HP:0001756	Synonym('Vestibular loss', scope='EXACT')
HP:0001756	Synonym('Vestibular dysfunction', scope='EXACT')
HP:0001757	High-frequency sensorineural hearing impairment
HP:0001757	Synonym('High frequency sensorineural hearing impairment', scope='EXACT')
HP:0001757	Synonym('High-tone sensorineural deafness', scope='EXACT')
HP:0001757	Synonym('High-tone sensorineural hearing impairment', scope='EXACT')
HP:0001760	Abnormal foot morphology
HP:0001760	Synonym('Foot deformities', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001760	Synonym('Foot deformity', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001760	Synonym('Abnormality of the feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001760	Synonym('Abnormality of the foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001760	Synonym('Abnormal feet structure', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001761	Pes cavus
HP:0001761	Synonym('Cavus foot', scope='EXACT')
HP:0001761	Synonym('High-arched foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001762	Talipes equinovarus
HP:0001762	Synonym('Talipes varus', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001762	Synonym('Clubfeet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001762	Synonym('Pes equinovarus', scope='EXACT')
HP:0001762	Synonym('Foot, talipes equinovarus', scope='EXACT')
HP:0001762	Synonym('Clubfoot', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001762	Synonym('Equinovarus', scope='EXACT')
HP:0001762	Synonym('Fetal foot inversion', scope='NARROW')
HP:0001762	Synonym('Club foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001762	Synonym('Foetal foot inversion', scope='NARROW', type=SynonymType('uk_spelling', 'UK spelling'))
HP:0001762	Synonym('Club feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001762	Synonym('Clubbing of feet', scope='EXACT')
HP:0001762	Synonym('Pes equinus', scope='EXACT')
HP:0001763	Pes planus
HP:0001763	Synonym('Dropped arches', scope='RELATED', type=SynonymType('layperson', 'layperson term'))
HP:0001763	Synonym('Flat feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001763	Synonym('Flat foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001763	Synonym('Fallen arches', scope='RELATED', type=SynonymType('layperson', 'layperson term'))
HP:0001765	Hammertoe
HP:0001765	Synonym('Hammertoes', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001765	Synonym('Hammertoe', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001765	Synonym('Hammer toe', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001769	Broad foot
HP:0001769	Synonym('Broad foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001769	Synonym('Broad feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001769	Synonym('Wide foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001770	Toe syndactyly
HP:0001770	Synonym('Foot syndactyly', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001770	Synonym('Syndactyly of feet', scope='EXACT')
HP:0001770	Synonym('Fused toes', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001770	Synonym('Syndactyly of toes', scope='EXACT')
HP:0001770	Synonym('Webbed toes', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001771	Achilles tendon contracture
HP:0001771	Synonym('Achilles tendon contractures', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0001771	Synonym('Contractures of the Achilles tendon', scope='EXACT')
HP:0001771	Synonym('Shortening of the achilles tendon', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001771	Synonym('Tight achilles tendon', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001772	Talipes equinovalgus
HP:0001772	Synonym('Equinovalgus deformity', scope='RELATED')
HP:0001773	Short foot
HP:0001773	Synonym('Small feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001773	Synonym('Hypoplastic feet', scope='EXACT')
HP:0001773	Synonym('Short foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001773	Synonym('Short feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001775	Tarsal osteovalgus
HP:0001776	Bilateral talipes equinovarus
HP:0001776	Synonym('Bilateral clubfeet', scope='EXACT')
HP:0001776	Synonym('Bilateral clubfoot', scope='EXACT')
HP:0001776	Synonym('Club foot on both sides', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001780	Abnormal toe morphology
HP:0001780	Synonym('Abnormality of toe', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001780	Synonym('Abnormalities of the toes', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001782	Bulbous tips of toes
HP:0001783	Broad metatarsal
HP:0001783	Synonym('Wide long bone of foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001783	Synonym('Widened metatarsal shaft', scope='RELATED')
HP:0001783	Synonym('Broad metatarsals', scope='RELATED')
HP:0001785	Ankle swelling
HP:0001785	Synonym('Ankle swelling', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001786	Narrow foot
HP:0001786	Synonym('Slender feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001786	Synonym('Narrow foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001787	Abnormal delivery
HP:0001787	Synonym('Abnormal delivery', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001787	Synonym('Delivery complication', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001788	Premature rupture of membranes
HP:0001789	Hydrops fetalis
HP:0001790	Nonimmune hydrops fetalis
HP:0001790	Synonym('Non-immune fetal hydrops', scope='EXACT')
HP:0001790	Synonym('Nonimmune hydrops', scope='EXACT')
HP:0001790	Synonym('Non-immune foetal hydrops', scope='EXACT', type=SynonymType('uk_spelling', 'UK spelling'))
HP:0001790	Synonym('Hydrops fetalis, nonimmune', scope='EXACT')
HP:0001790	Synonym('Hydrops fetalis, non-immune', scope='EXACT')
HP:0001791	Fetal ascites
HP:0001791	Synonym('Foetal ascites', scope='EXACT', type=SynonymType('uk_spelling', 'UK spelling'))
HP:0001792	Small nail
HP:0001792	Synonym('Nail hypoplasia', scope='EXACT')
HP:0001792	Synonym('Small nail', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001792	Synonym('Hypoplastic nails', scope='EXACT')
HP:0001792	Synonym('Hypoplastic nail', scope='EXACT')
HP:0001792	Synonym('Small nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001795	Hyperconvex nail
HP:0001795	Synonym('Nail overcurvature', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001795	Synonym('Increased nail curvature', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001798	Anonychia
HP:0001798	Synonym('Absent nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001798	Synonym('Aplastic nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001799	Short nail
HP:0001799	Synonym('Short nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0001799	Synonym('Short nail', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001800	Hypoplastic toenails
HP:0001800	Synonym('Underdeveloped toenails', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001802	Absent toenail
HP:0001802	Synonym('Absent toenails (anonychia)', scope='RELATED', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0001802	Synonym('Absent toenail', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001802	Synonym('Absent toenails', scope='RELATED', type=SynonymType('layperson', 'layperson term'))
HP:0001802	Synonym('Anonychia of toenails', scope='RELATED', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0001803	Nail pits
HP:0001803	Synonym('Nail pitting', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001803	Synonym('Nail pits', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001803	Synonym('Pitted nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001804	Hypoplastic fingernail
HP:0001804	Synonym('Underdeveloped fingernail', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001804	Synonym('Small fingernail', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001805	Onychogryposis
HP:0001805	Synonym('Thickened nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001805	Synonym('Thick nail', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001805	Synonym('Dystrophic thickened nails', scope='EXACT')
HP:0001806	Onycholysis
HP:0001806	Synonym('Detachment of nail', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001806	Synonym('Oncholysis', scope='EXACT')
HP:0001807	Ridged nail
HP:0001807	Synonym('Grooved nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001807	Synonym('Nail ridging', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001807	Synonym('Ridged nails', scope='RELATED', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0001807	Synonym('Longitudinal ridging', scope='EXACT')
HP:0001808	Fragile nails
HP:0001808	Synonym('Brittle nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001809	Split nail
HP:0001809	Synonym('Longitudinal splitting of nail', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001810	Dystrophic toenail
HP:0001810	Synonym('Dystrophic toenail changes', scope='EXACT')
HP:0001810	Synonym('Dystrophic toenails', scope='RELATED')
HP:0001810	Synonym('Poor toenail formation', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432'), Xref('http://naildystrophy.com/')})
HP:0001812	Hyperconvex fingernails
HP:0001812	Synonym('Tubular fingernails', scope='EXACT')
HP:0001814	Deep-set nails
HP:0001814	Synonym('Deep-set nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001816	Thin nail
HP:0001816	Synonym('Thin nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001816	Synonym('Thin nail', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001817	Absent fingernail
HP:0001817	Synonym('Anonychia of fingernails', scope='RELATED', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0001817	Synonym('Absent fingernail', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001817	Synonym('Aplasia of the fingernail', scope='EXACT')
HP:0001818	Paronychia
HP:0001820	Leukonychia
HP:0001820	Synonym('White discoloration of nails', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001821	Broad nail
HP:0001821	Synonym('Broad nail', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001821	Synonym('Broad fingernails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001821	Synonym('Wide fingernails', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001822	Hallux valgus
HP:0001822	Synonym('Lateral deviation of great toe', scope='EXACT')
HP:0001822	Synonym('Lateral deviation of halluces', scope='EXACT')
HP:0001822	Synonym('Bunion', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001824	Weight loss
HP:0001824	Synonym('Loss of weight', scope='EXACT')
HP:0001827	Genital tract atresia
HP:0001829	Foot polydactyly
HP:0001829	Synonym('Polydactyly of the foot', scope='EXACT')
HP:0001829	Synonym('Polydactyly of feet', scope='EXACT')
HP:0001829	Synonym('Duplication of bones of the toes', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001830	Postaxial foot polydactyly
HP:0001830	Synonym('Polydactyly affecting the 5th toe', scope='EXACT')
HP:0001830	Synonym('Posterior polydactyly of foot', scope='EXACT')
HP:0001830	Synonym('Extra toe attached near the little toe', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0001830	Synonym('Postaxial polydactyly of foot', scope='EXACT')
HP:0001830	Synonym('Postaxial polydactyly of feet', scope='EXACT')
HP:0001830	Synonym('Fibular polydactyly', scope='RELATED')
HP:0001831	Short toe
HP:0001831	Synonym('Brachydactyly of the foot', scope='EXACT')
HP:0001831	Synonym('Short toes', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001831	Synonym('Hypoplasia of the toe', scope='EXACT')
HP:0001831	Synonym('Stubby toes', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001831	Synonym('Hypoplastic toes', scope='EXACT')
HP:0001831	Synonym('Short toe', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001831	Synonym('Short foot phalanges', scope='EXACT')
HP:0001832	Abnormal metatarsal morphology
HP:0001832	Synonym('Abnormality of the long bone of foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001833	Long foot
HP:0001833	Synonym('Long foot', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001833	Synonym('Disproportionately large feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001833	Synonym('large feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001833	Synonym('long feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001836	Camptodactyly of toe
HP:0001836	Synonym('Camptodactyly of feet', scope='EXACT')
HP:0001837	Broad toe
HP:0001837	Synonym('Wide toe', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0001837	Synonym('Broad toe', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001838	Rocker bottom foot
HP:0001838	Synonym('Congenital vertical talus', scope='EXACT')
HP:0001838	Synonym('Rockerbottom feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0001838	Synonym('Rocker bottom feet', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
