,MIM Number,Preferred Title,symbol
10063,602112,METALLOPHOSPHOESTERASE DOMAIN-CONTAINING PROTEIN 1, MPPED1
10064,602113,LYSINE-SPECIFIC METHYLTRANSFERASE 2D, KMT2D
10065,602114,"NEPHROPATHY, PROGRESSIVE TUBULOINTERSTITIAL, WITH CHOLESTATIC LIVER DISEASE",
10066,602115,FIBROBLAST GROWTH FACTOR 10, FGF10
10067,602116,YEATS DOMAIN-CONTAINING PROTEIN 4, YEATS4
10068,602117,NECDIN, NDN
10069,602118,CHROMODOMAIN HELICASE DNA-BINDING PROTEIN 1, CHD1
10070,602119,CHROMODOMAIN HELICASE DNA-BINDING PROTEIN 2, CHD2
10071,602120,CHROMODOMAIN HELICASE DNA-BINDING PROTEIN 3, CHD3
10072,602121,DIAPHANOUS-RELATED FORMIN 1, DIAPH1
10073,602122,"SIGNAL RECOGNITION PARTICLE, 72-KD", SRP72
10074,602123,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-GAMMA, CAMK2G
10075,602124,"DYSTONIA 7, TORSION", DYT7
10076,602125,CYTOCHROME c OXIDASE ASSEMBLY FACTOR COX10, COX10
10077,602126,ZINC FINGER- AND BTB DOMAIN-CONTAINING PROTEIN 14, ZBTB14
10078,602127,SMOOTHELIN, SMTN
10079,602128,GROWTH ARREST-SPECIFIC 2-LIKE 1, GAS2L1
10080,602129,MYOSIN IXB, MYO9B
10081,602130,MITOGEN-ACTIVATED PROTEIN KINASE-ACTIVATED PROTEIN KINASE 3, MAPKAPK3
10082,602131,"PLECKSTRIN HOMOLOGY-LIKE DOMAIN, FAMILY A, MEMBER 2", PHLDA2
10083,602132,MIA SH3 DOMAIN ER EXPORT FACTOR 2, MIA2
10084,602133,PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE, PFAS
10085,602134,"TREMOR, HEREDITARY ESSENTIAL, 2", ETM2
10086,602135,"DYNEIN, AXONEMAL, LIGHT INTERMEDIATE POLYPEPTIDE 1", DNALI1
10087,602136,PEROXISOME BIOGENESIS FACTOR 1, PEX1
10088,602137,NADH-UBIQUINONE OXIDOREDUCTASE SUBUNIT A2, NDUFA2
10089,602138,NADH-UBIQUINONE OXIDOREDUCTASE SUBUNIT A6, NDUFA6
10090,602139,NADH-UBIQUINONE OXIDOREDUCTASE SUBUNIT A7, NDUFA7
10091,602140,NADH-UBIQUINONE OXIDOREDUCTASE SUBUNIT B8, NDUFB8
10092,602141,NADH-UBIQUINONE OXIDOREDUCTASE Fe-S PROTEIN 8, NDUFS8
10093,602142,"PHOSPHOLIPASE C, DELTA-1", PLCD1
10094,602143,TUMOR PROTEIN p53-BINDING PROTEIN 2, TP53BP2
10095,602144,"BROMODOMAIN, TESTIS-SPECIFIC", BRDT
10096,602145,"PROLIFERATION-ASSOCIATED 2G4, 38-KD", PA2G4
10097,602146,LIM HOMEOBOX GENE 4, LHX4
10098,602147,TITLE NOT AVAILABLE AT THIS MOMENT,
10099,602148,SRY-BOX 1, SOX1
10100,602149,PAIRED-LIKE HOMEODOMAIN TRANSCRIPTION FACTOR 1, PITX1
10101,602150,SNAIL FAMILY TRANSCRIPTIONAL REPRESSOR 2, SNAI2
10102,602151,DISHEVELLED 2, DVL2
10103,602152,RHYNS SYNDROME, RHYNS
10104,602153,"KERATIN 81, TYPE II", KRT81
10105,602154,NONCODING TRANSCRIPT IN T CELLS,
10106,602155,UBX DOMAIN PROTEIN 8, UBXN8
10107,602156,"OLIGOSACCHARYLTRANSFERASE COMPLEX, CATALYTIC SUBUNIT STT3A",
10108,602157,NOVA ALTERNATIVE SPLICING REGULATOR 1, NOVA1
10109,602158,"CHLORIDE CHANNEL, NUCLEOTIDE SENSITIVE, 1A", CLNS1A
10110,602159,CORONIN 2A, CORO2A
10111,602160,TRANSCRIPTION FACTOR DP2, TFDP2
10112,602161,PROTEASOME ACTIVATOR SUBUNIT 2, PSME2
10113,602162,SYNAPTONEMAL COMPLEX PROTEIN 1, SYCP1
10114,602163,UBIQUITIN-CONJUGATING ENZYME E2 E2, UBE2E2
10115,602164,5-HYDROXYTRYPTAMINE RECEPTOR 4, HTR4
10116,602165,TRIPARTITE MOTIF-CONTAINING PROTEIN 27, TRIM27
10117,602166,"ADAPTOR-RELATED PROTEIN COMPLEX 3, BETA-2 SUBUNIT", AP3B2
10118,602167,"ESTROGEN-RELATED RECEPTOR, BETA", ESRRB
10119,602168,VRK SERINE/THREONINE KINASE 1, VRK1
10120,602169,VRK SERINE/THREONINE KINASE 2, VRK2
10121,602170,MYD88 INNATE IMMUNE SIGNAL TRANSDUCTION ADAPTOR, MYD88
10122,602171,GLYCOPROTEIN A33, GPA33
10123,602172,"CYTOCHROME P450, SUBFAMILY VIIIB, POLYPEPTIDE 1", CYP8B1
10124,602173,"SEC62 HOMOLOG, PREPROTEIN TRANSLOCATION FACTOR", SEC62
10125,602174,G PROTEIN-COUPLED RECEPTOR 25, GPR25
10126,602175,"PROTEASOME SUBUNIT, BETA-TYPE, 2", PSMB2
10127,602176,"PROTEASOME SUBUNIT, BETA-TYPE, 3", PSMB3
10128,602177,"PROTEASOME SUBUNIT, BETA-TYPE, 4", PSMB4
10129,602178,CHONDROADHERIN, CHAD
10130,602179,HEAT-SHOCK 27-KD PROTEIN 2, HSPB2
10131,602180,SIGNAL-INDUCED PROLIFERATION-ASSOCIATED GENE 1, SIPA1
10132,602181,STAPHYLOCOCCAL NUCLEASE DOMAIN- AND TUDOR DOMAIN-CONTAINING PROTEIN 1, SND1
10133,602182,ECTONUCLEOTIDE PYROPHOSPHATASE/PHOSPHODIESTERASE 3, ENPP3
10134,602183,NK3 HOMEOBOX 2, NKX3-2
10135,602184,NADH-UBIQUINONE OXIDOREDUCTASE FLAVOPROTEIN 3, NDUFV3
10136,602185,EPHRIN RECEPTOR EphA5,
10137,602186,"VGF, NERVE GROWTH FACTOR-INDUCIBLE", VGF
10138,602187,ZINC FINGER PROTEIN 195, ZNF195
10139,602188,EPHRIN RECEPTOR EphA4, EPHA4
10140,602189,REGULATOR OF G PROTEIN SIGNALING 3, RGS3
10141,602190,EPHRIN RECEPTOR EphA7, EPHA7
10142,602191,E74-LIKE ETS TRANSCRIPTION FACTOR 3, ELF3
10143,602192,A DISINTEGRIN AND METALLOPROTEINASE DOMAIN 10, ADAM10
10144,602193,"SOLUTE CARRIER FAMILY 29 (NUCLEOSIDE TRANSPORTER), MEMBER 1", SLC29A1
10145,602194,HTRA SERINE PEPTIDASE 1, HTRA1
10146,602195,HEAT-SHOCK 27-KD PROTEIN 1, HSPB1
10147,602196,PIERRE ROBIN SEQUENCE WITH PECTUS EXCAVATUM AND RIB AND SCAPULAR ANOMALIES,
10148,602197,CEREBELLAR DEGENERATION-RELATED AUTOANTIGEN 3,
10149,602198,CDK2-ASSOCIATED PROTEIN 1, CDK2AP1
10150,602199,MEDIUM CHAIN 3-KETOACYL-CoA THIOLASE DEFICIENCY,
10151,602200,VENTRICULOMEGALY WITH DEFECTS OF THE RADIUS AND KIDNEY,
10152,602201,EXTRACELLULAR MATRIX PROTEIN 1, ECM1
10153,602202,DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE-PROTEIN GLYCOSYLTRANSFERASE, DDOST
10154,602203,SARCOLIPIN, SLN
10155,602204,BICD CARGO ADAPTOR 1, BICD1
10156,602205,G PROTEIN-COUPLED ESTROGEN RECEPTOR 1,
10157,602206,RAS-ASSOCIATED PROTEIN RAB17, RAB17
10158,602207,RAS-ASSOCIATED PROTEIN RAB18, RAB18
10159,602208,"POTASSIUM CHANNEL, INWARDLY RECTIFYING, SUBFAMILY J, MEMBER 10", KCNJ10
10160,602209,RAS-RESPONSIVE ELEMENT BINDING PROTEIN 1, RREB1
10161,602210,"EUKARYOTIC TRANSLATION INITIATION FACTOR 3, SUBUNIT E", EIF3E
10162,602211,FORKHEAD BOX D2, FOXD2
10163,602212,"SIAH E3 UBIQUITIN PROTEIN LIGASE FAMILY, MEMBER 1", SIAH1
10164,602213,"SIAH E3 UBIQUITIN PROTEIN LIGASE FAMILY, MEMBER 2", SIAH2
10165,602214,"CASEIN KINASE I, GAMMA-2", CSNK1G2
10166,602215,"DEFENSIN, BETA, 4A", DEFB4A
10167,602216,SERINE/THREONINE PROTEIN KINASE 11, STK11
10168,602217,SYNDECAN-BINDING PROTEIN, SDCBP
10169,602218,SAL-LIKE 1, SALL1
10170,602219,SAL-LIKE 2, SALL2
10171,602220,"RAS-LIKE, FAMILY 10, MEMBER A", RASL10A
10172,602221,"ZINC FINGER, MYM-TYPE 2", ZMYM2
10173,602222,MAL-LIKE,
10174,602223,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E-BINDING PROTEIN 1, EIF4EBP1
10175,602224,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E-BINDING PROTEIN 2, EIF4EBP2
10176,602225,CONE-ROD HOMEOBOX-CONTAINING GENE, CRX
10177,602226,CD180 ANTIGEN, CD180
10178,602227,"CHEMOKINE, CC MOTIF, LIGAND 19", CCL19
10179,602228,TRANSCRIPTION FACTOR 7-LIKE 2, TCF7L2
10180,602229,SRY-BOX 10, SOX10
10181,602230,SH3 DOMAIN-BINDING GLUTAMIC ACID-RICH PROTEIN, SH3BGR
10182,602231,SMALL UBIQUITIN-LIKE MODIFIER 3, SUMO3
10183,602232,"POTASSIUM CHANNEL, VOLTAGE-GATED, KQT-LIKE SUBFAMILY, MEMBER 3", KCNQ3
10184,602233,APOPTOTIC PROTEASE ACTIVATING FACTOR 1, APAF1
10185,602234,"CASPASE 9, APOPTOSIS-RELATED CYSTEINE PROTEASE", CASP9
10186,602235,"POTASSIUM CHANNEL, VOLTAGE-GATED, KQT-LIKE SUBFAMILY, MEMBER 2", KCNQ2
10187,602236,"CHEMOKINE, CX3C MOTIF, LIGAND 1",
10188,602237,"CHEMOKINE, CX3C MOTIF, RECEPTOR 1",
10189,602238,EXOSOME COMPONENT 2, EXOSC2
10190,602239,"CYTOCHROME P450, SUBFAMILY XXVIA, POLYPEPTIDE 1", CYP26A1
10191,602240,ZINC FINGER PROTEIN 192, ZNF192
10192,602241,MITOCHONDRIAL INTERMEDIATE PEPTIDASE, MIPEP
10193,602242,"ADAPTOR-RELATED PROTEIN COMPLEX 2, SIGMA-1 SUBUNIT", AP2S1
10194,602243,CD151 ANTIGEN, CD151
10195,602244,DEOXYRIBONUCLEASE I-LIKE 3, DNASE1L3
10196,602245,GTP-BINDING PROTEIN 1, GTPBP1
10197,602246,ZINC FINGER PROTEIN 193, ZNF193
10198,602247,"XANTHOMATOSIS, SUSCEPTIBILITY TO",
10199,602248,MALIGNANT ATROPHIC PAPULOSIS,
10200,602249,PROGEROID FACIAL APPEARANCE WITH HAND ANOMALIES,
10201,602250,"TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 9", TNFRSF9
10202,602251,TRANSLOCASE OF INNER MITOCHONDRIAL MEMBRANE 10, TIMM10
10203,602252,"MITOCHONDRIAL INTERMEMBRANE SPACE PROTEIN TIM12, YEAST, HOMOLOG OF",
10204,602253,KRUPPEL-LIKE FACTOR 4, KLF4
10205,602254,SRR1 DOMAIN-CONTAINING PROTEIN, SRRD
10206,602255,SERINE/THREONINE PROTEIN KINASE 25, STK25
10207,602256,"PROTEIN PHOSPHATASE, EF-HAND CALCIUM-BINDING DOMAIN 2", PPEF2
10208,602257,"SCAVENGER RECEPTOR CLASS B, MEMBER 2", SCARB2
10209,602258,"SCAVENGER RECEPTOR CLASS B, MEMBER 1",
10210,602259,TETRATRICOPEPTIDE REPEAT DOMAIN-CONTAINING PROTEIN 3, TTC3
10211,602260,PERIOD CIRCADIAN REGULATOR 1, PER1
10212,602261,MATRIX METALLOPROTEINASE 15, MMP15
10213,602262,MATRIX METALLOPROTEINASE 16, MMP16
10214,602263,MATRIX METALLOPROTEINASE 19,
10215,602264,"SPARC/OSTEONECTIN, CWCV, AND KAZAL-LIKE DOMAINS PROTEOGLYCAN", SPOCK1
10216,602265,"NEURAL PRECURSOR CELL EXPRESSED, DEVELOPMENTALLY DOWNREGULATED 9", NEDD9
10217,602266,"ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 7",
10218,602267,A DISINTEGRIN AND METALLOPROTEINASE DOMAIN 8, ADAM8
10219,602268,"AMINE OXIDASE, COPPER-CONTAINING, 2", AOC2
10220,602269,ARVCF DELTA CATENIN FAMILY MEMBER, ARVCF
10221,602270,ANTIOXIDANT PROTEIN 1, ATOX1
10222,602271,"SPONDYLOMETAPHYSEAL DYSPLASIA, AXIAL", SMDAX
10223,602272,TRANSCRIPTION FACTOR 4, TCF4
10224,602273,UDP-N-ACETYL-ALPHA-D-GALACTOSAMINE:POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 1, GALNT1
10225,602274,UDP-N-ACETYL-ALPHA-D-GALACTOSAMINE:POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 2, GALNT2
10226,602275,GUANYLATE CYCLASE ACTIVATOR 1B, GUCA1B
10227,602276,TRANSCRIPTIONAL ADAPTOR 2A, TADA2A
10228,602277,ZINC FINGER PROTEIN 184, ZNF184
10229,602278,"NEURAL PRECURSOR CELL EXPRESSED, DEVELOPMENTALLY DOWNREGULATED 4", NEDD4
10230,602279,"POLYADENYLATE-BINDING PROTEIN, NUCLEAR, 1", PABPN1
10231,602280,TUB-LIKE PROTEIN 1, TULP1
10232,602281,MILK FAT GLOBULE-EGF FACTOR 8, MFGE8
10233,602282,LYSOPHOSPHATIDIC ACID RECEPTOR 1, LPAR1
10234,602283,"CHEMOKINE, CC MOTIF, LIGAND 8", CCL8
10235,602284,BONE MORPHOGENETIC PROTEIN 8B, BMP8B
10236,602285,MATRIX METALLOPROTEINASE 17, MMP17
10237,602286,STEROL C5-DESATURASE, SC5D
10238,602287,"ENDOPLASMIC RETICULUM PROTEIN, 29-KD", ERP29
10239,602288,RHOTEKIN, RTKN
10240,602289,DR1-ASSOCIATED PROTEIN 1, DRAP1
10241,602290,TRIPARTITE MOTIF-CONTAINING PROTEIN 32, TRIM32
10242,602291,FORKHEAD BOX J1, FOXJ1
10243,602292,"ENOYL-CoA HYDRATASE, SHORT-CHAIN, 1, MITOCHONDRIAL", ECHS1
10244,602293,CALCIUM- AND INTEGRIN-BINDING PROTEIN 1, CIB1
10245,602294,FORKHEAD BOX A1, FOXA1
10246,602295,FORKHEAD BOX A3, FOXA3
10247,602296,"ADAPTOR-RELATED PROTEIN COMPLEX 4, MU-1 SUBUNIT", AP4M1
10248,602297,EPHRIN B3, EFNB3
10249,602298,RAS-ASSOCIATED PROTEIN RAB7, RAB7
10250,602299,RAS-ASSOCIATED PROTEIN RAB9,
10251,602300,GALACTOSE-3-O-SULFOTRANSFERASE 1, GAL3ST1
10252,602301,LYSINE ACETYLTRANSFERASE 2A, KAT2A
10253,602302,HR LYSINE DEMETHYLASE AND NUCLEAR RECEPTOR COREPRESSOR, HR
10254,602303,LYSINE ACETYLTRANSFERASE 2B, KAT2B
10255,602304,"NUCLEAR RECEPTOR SUBFAMILY 1, GROUP D, MEMBER 2", NR1D2
10256,602305,SYNAPTONEMAL COMPLEX PROTEIN 1,
10257,602306,RAL GUANINE NUCLEOTIDE DISSOCIATION STIMULATOR-LIKE 2, RGL2
10258,602307,WW DOMAIN-CONTAINING PROTEIN 1, WWP1
10259,602308,WW DOMAIN-CONTAINING PROTEIN 2, WWP2
10260,602309,TUB-LIKE PROTEIN 2, TULP2
10261,602310,"RNA-BINDING MOTIF PROTEIN, SINGLE STRAND-INTERACTING, 1", RBMS1
10262,602311,AGOUTI-RELATED NEUROPEPTIDE, AGRP
10263,602312,"HISTONE GENE CLUSTER 1, H1 HISTONE FAMILY, MEMBER B",
10264,602313,OVO-LIKE 1, OVOL1
10265,602314,LADININ 1, LAD1
10266,602315,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3, MAP2K3
10267,602316,PEROXIREDOXIN 6, PRDX6
10268,602317,SH3 AND CYSTEINE-RICH DOMAINS 1, STAC1
10269,602318,"TRANSCRIPTION TERMINATION FACTOR 1, MITOCHONDRIAL", MTERF1
10270,602319,NEURAL EPIDERMAL GROWTH FACTOR-LIKE PROTEIN 1, NELL1
10271,602320,NEURAL EPIDERMAL GROWTH FACTOR-LIKE PROTEIN 2, NELL2
10272,602321,"GLUTATHIONE S-TRANSFERASE, KAPPA-1", GSTK1
10273,602322,TELOMERASE RNA COMPONENT, TERC
10274,602323,"POTASSIUM CHANNEL, INWARDLY RECTIFYING, SUBFAMILY J, MEMBER 12", KCNJ12
10275,602324,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN H3, HNRNPH3
10276,602325,"EUKARYOTIC TRANSLATION INITIATION FACTOR 4-GAMMA, 2", EIF4G2
10277,602326,RIBOSOMAL PROTEIN L23A, RPL23A
10278,602327,PLECKSTRIN AND SEC7 DOMAINS-CONTAINING PROTEIN, PSD
10279,602328,RHO GTPase-ACTIVATING PROTEIN 6,
10280,602329,SUPPRESSOR OF LIN12-LIKE, SEL1L
10281,602330,"ACTIN-BINDING LIM PROTEIN FAMILY, MEMBER 1", ABLIM1
10282,602331,"ORIGIN RECOGNITION COMPLEX, SUBUNIT 5", ORC5
10283,602332,NON-SMC CONDENSIN I COMPLEX SUBUNIT H, NCAPH
10284,602333,EPITHELIAL MEMBRANE PROTEIN 1, EMP1
10285,602334,EPITHELIAL MEMBRANE PROTEIN 2, EMP2
10286,602335,EPITHELIAL MEMBRANE PROTEIN 3, EMP3
10287,602336,RECEPTOR TYROSINE KINASE-LIKE ORPHAN RECEPTOR 1, ROR1
10288,602337,RECEPTOR TYROSINE KINASE-LIKE ORPHAN RECEPTOR 2, ROR2
10289,602338,PRE-mRNA-PROCESSING FACTOR KINASE PRP4K, PRP4K
10290,602339,"SOLUTE CARRIER FAMILY 15 (H+/PEPTIDE TRANSPORTER), MEMBER 2", SLC15A2
10291,602340,"SENSORINEURAL HEARING LOSS, RETINAL PIGMENT EPITHELIUM LESIONS, DISCOLORED TEETH",
10292,602341,FORKHEAD BOX M1, FOXM1
10293,602342,PIERPONT SYNDROME, PRPTS
10294,602343,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY C, MEMBER 1", TRPC1
10295,602344,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE 2, PAFAH2
10296,602345,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY C, MEMBER 3", TRPC3
10297,602346,CONTACTIN-ASSOCIATED PROTEIN 1, CNTNAP1
10298,602347,"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 3", PFIC3
10299,602348,"SMALL NUCLEAR RNA-ACTIVATING PROTEIN COMPLEX, POLYPEPTIDE 3", SNAPC3
10300,602349,NETRIN 3, NTN3
10301,602350,NEUROGRANIN, NRGN
10302,602351,CHEMERIN CHEMOKINE-LIKE RECEPTOR 1, CMKLR1
10303,602352,GONADOTROPIN-RELEASING HORMONE 2, GNRH2
10304,602353,"TRANSFORMING GROWTH FACTOR, BETA-1-INDUCED 1", TGFB1I1
10305,602354,LINKER FOR ACTIVATION OF T CELLS, LAT
10306,602355,TNF RECEPTOR-ASSOCIATED FACTOR 6, TRAF6
10307,602356,TNF RECEPTOR-ASSOCIATED FACTOR 5, TRAF5
10308,602357,"WAS/WASL-INTERACTING PROTEIN FAMILY, MEMBER 1", WIPF1
10309,602358,HYPOCRETIN, HCRT
10310,602359,FXYD DOMAIN-CONTAINING ION TRANSPORT REGULATOR 1, FXYD1
10311,602360,L-ARGININE:GLYCINE AMIDINOTRANSFERASE, GATM
10312,602361,GRACILE BONE DYSPLASIA, GCLEB
10313,602362,"GTPase-ACTIVATING PROTEIN, RAN, 1", RANGAP1
10314,602363,ELLIS-VAN CREVELD SYNDROME,
10315,602364,CATHEPSIN W, CTSW
10316,602365,CATHEPSIN C, CTSC
10317,602366,INTEGRIN-LINKED KINASE, ILK
10318,602367,NEURONAL PENTRAXIN 1, NPTX1
10319,602368,"GLUTAMATE RECEPTOR, IONOTROPIC, DELTA 2", GRID2
10320,602369,CELLULAR COMMUNICATION NETWORK FACTOR 1, CCN1
10321,602370,GLYCOSYLPHOSPHATIDYLINOSITOL-ANCHORED MOLECULE-LIKE PROTEIN, GML
10322,602371,"ACYL-CoA SYNTHETASE LONG CHAIN FAMILY, MEMBER 3", ACSL3
10323,602372,ZONADHESIN, ZAN
10324,602373,CALPONIN 2, CNN2
10325,602374,CALPONIN 3, CNN3
10326,602375,MITOCHONDRIAL RIBOSOMAL PROTEIN L12, MRPL12
10327,602376,"INTERFERON-ALPHA, -BETA, AND -OMEGA RECEPTOR 2", IFNAR2
10328,602377,DYNAMIN 1, DNM1
10329,602378,DYNAMIN 2, DNM2
10330,602379,"PROTEIN PHOSPHATASE 6, CATALYTIC SUBUNIT",
10331,602380,UROPLAKIN 1B, UPK1B
10332,602381,NGFIA-BINDING PROTEIN 2, NAB2
10333,602382,"PHOSPHOLIPASE D1, PHOSPHATIDYLCHOLINE-SPECIFIC", PLD1
10334,602383,OSTEOGLYCIN, OGN
10335,602384,PHOSPHOLIPASE D2, PLD2
10336,602385,"SULFOTRANSFERASE FAMILY 1C, MEMBER 2", SULT1C2
10337,602386,ZINC FINGER PROTEIN 212, ZNF212
10338,602387,"RNA-BINDING MOTIF PROTEIN, SINGLE STRAND-INTERACTING, 2", RBMS2
10339,602388,SYMPLEKIN, SYMPK
10340,602389,"Tu TRANSLATION ELONGATION FACTOR, MITOCHONDRIAL", TUFM
10341,602390,"HEMOCHROMATOSIS, TYPE 2A", HFE2A
10342,602391,PHOSPHATIDYLETHANOLAMINE N-METHYLTRANSFERASE, PEMT
10343,602392,HYPOCRETIN RECEPTOR 1, HCRTR1
10344,602393,HYPOCRETIN RECEPTOR 2, HCRTR2
10345,602394,NUCLEOLAR AND COILED-BODY PHOSPHOPROTEIN 1, NOLC1
10346,602395,"GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE, MITOCHONDRIAL", GPAM
10347,602396,ANNEXIN A8, ANXA8
10348,602397,"ATPase, CLASS I, TYPE 8B, MEMBER 1", ATP8B1
10349,602398,DESMOSTEROLOSIS,
10350,602399,MITOGEN-ACTIVATED PROTEIN KINASE 12, MAPK12
10351,602400,"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 11", ARCI11
10352,602401,"ECTODERMAL DYSPLASIA 8, HAIR/TOOTH/NAIL TYPE", ECTD8
10353,602402,FORKHEAD BOX C2, FOXC2
10354,602403,BLEOMYCIN HYDROLASE, BLMH
10355,602404,"PARKINSON DISEASE 3, AUTOSOMAL DOMINANT", PARK3
10356,602405,INSULIN-LIKE 4,
10357,602406,HEART- AND NEURAL CREST DERIVATIVES-EXPRESSED 1, HAND1
10358,602407,HEART- AND NEURAL CREST DERIVATIVES-EXPRESSED 2, HAND2
10359,602408,"NUCLEAR RECEPTOR SUBFAMILY 1, GROUP D, MEMBER 1", NR1D1
10360,602409,MLLT10 HISTONE LYSINE METHYLTRANSFERASE DOT1L COFACTOR, MLLT10
10361,602410,BROMODOMAIN- AND PHD FINGER-CONTAINING PROTEIN, BRPF1
10362,602411,EXOSTOSIN-LIKE GLYCOSYLTRANSFERASE 2, EXTL2
10363,602412,RIBOSOMAL PROTEIN S24, RPS24
10364,602413,"SUCCINATE DEHYDROGENASE COMPLEX, SUBUNIT C", SDHC
10365,602414,"AMYLOID BETA A4 PRECURSOR PROTEIN-BINDING, FAMILY A, MEMBER 1", APBA1
10366,602415,"DYSTROBREVIN, BETA", DTNB
10367,602416,"ADAPTOR-RELATED PROTEIN COMPLEX 3, SIGMA-2 SUBUNIT", AP3S2
10368,602417,AQUAPORIN 7,
10369,602418,WEYERS ULNAR RAY/OLIGODACTYLY SYNDROME,
10370,602419,EARLY GROWTH RESPONSE 3, EGR3
10371,602420,"POTASSIUM CHANNEL, VOLTAGE-GATED, SHAKER-RELATED SUBFAMILY, MEMBER 10", KCNA10
10372,602421,CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR, CFTR
10373,602422,STEM-LOOP BINDING PROTEIN, SLBP
10374,602423,"NUCLEAR RECEPTOR SUBFAMILY 1, GROUP H, MEMBER 3", NR1H3
10375,602424,DOUBLESEX- AND MAB3-RELATED TRANSCRIPTION FACTOR 1, DMRT1
10376,602425,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 4, MAP3K4
10377,602426,NUCLEAR VALOSIN-CONTAINING PROTEIN-LIKE, NVL
10378,602427,T-BOX TRANSCRIPTION FACTOR 6, TBX6
10379,602428,HYALURONAN SYNTHASE 3, HAS3
10380,602429,"GLAUCOMA 1, OPEN ANGLE, D", GLC1D
10381,602430,ROUNDABOUT GUIDANCE RECEPTOR 1, ROBO1
10382,602431,ROUNDABOUT GUIDANCE RECEPTOR 2, ROBO2
10383,602432,OPTINEURIN, OPTN
10384,602433,"AMYOTROPHIC LATERAL SCLEROSIS 4, JUVENILE", ALS4
10385,602434,ANCIENT UBIQUITOUS PROTEIN 1, AUP1
10386,602435,PEPTIDYL-PROLYL ISOMERASE E, PPIE
10387,602436,MAJOR HISTOCOMPATIBILITY COMPLEX CLASS I CHAIN-RELATED GENE B, MICB
10388,602437,GTP CYCLOHYDROLASE I FEEDBACK REGULATORY PROTEIN, GCHFR
10389,602438,HEAT-SHOCK TRANSCRIPTION FACTOR 4, HSF4
10390,602439,"LEUKEMIA, ACUTE MYELOID",
10391,602440,"AMYOTROPHY, MONOMELIC",
10392,602441,CYTOKINE-INDUCIBLE SH2-CONTAINING PROTEIN, CISH
10393,602442,INTERSECTIN 1, ITSN1
10394,602443,X-PROLYL AMINOPEPTIDASE 1, XPNPEP1
10395,602444,ZINC FINGER PROTEIN 354A, ZNF354A
10396,602445,"SERINE PROTEASE INHIBITOR, CLADE I, MEMBER 1", SERPINI1
10397,602446,GLYPICAN 5, GPC5
10398,602447,PARAOXONASE 2, PON2
10399,602448,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5, MAP3K5
10400,602449,A-KINASE ANCHOR PROTEIN 1, AKAP1
10401,602450,SEVERE COMBINED IMMUNODEFICIENCY WITH SENSITIVITY TO IONIZING RADIATION,
10402,602451,"PYRIMIDINERGIC RECEPTOR P2Y, G PROTEIN-COUPLED, 6", P2RY6
10403,602452,BUB1 MITOTIC CHECKPOINT SERINE/THREONINE KINASE, BUB1
10404,602453,"INTEGRIN, ALPHA-D", ITGAD
10405,602454,"PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, U", PTPRU
10406,602455,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 10",
10407,602456,TITLE NOT AVAILABLE AT THIS MOMENT,
10408,602457,FAS-ASSOCIATED VIA DEATH DOMAIN, FADD
10409,602458,SORTILIN, SORT1
10410,602459,"DEAFNESS, AUTOSOMAL DOMINANT 15", DFNA15
10411,602460,"POU DOMAIN, CLASS 4, TRANSCRIPTION FACTOR 3", POU4F3
10412,602461,"PROTEIN-TYROSINE PHOSPHATASE, NONRECEPTOR TYPE, SUBSTRATE 1", PTPNS1
10413,602462,COLLAPSIN RESPONSE MEDIATOR PROTEIN 1, CRMP1
10414,602463,DIHYDROPYRIMIDINASE-LIKE 2, DPYSL2
10415,602464,TNF RECEPTOR-ASSOCIATED FACTOR 4, TRAF4
10416,602465,SPROUTY RTK SIGNALING ANTAGONIST 1, SPRY1
10417,602466,SPROUTY RTK SIGNALING ANTAGONIST 2, SPRY2
10418,602467,SPROUTY RTK SIGNALING ANTAGONIST 3,
10419,602468,"PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 9A", PPP1R9A
